# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (kPa),Shenanigans (sqrt_Hz)
5.64,-16.81736,2.754075,0,0,0,0,89.31507,113.0444
5.65,-16.79652,2.748271,0,0,0,0,89.30503,112.8791
5.66,-16.77574,2.742481,0,0,0,0,89.28998,112.7141
5.67,-16.75502,2.736707,0,0,0,0,89.28292,112.5492
5.68,-16.73436,2.730947,0,0,0,0,89.27085,112.3845
5.69,-16.71375,2.725201,0,0,0,0,89.26578,112.22
5.7,-16.69321,2.71947,0,0,0,0,89.2587,112.0558
5.71,-16.67273,2.713754,0,0,0,0,89.24462,111.8917
5.72,-16.6523,2.708053,0,0,0,0,89.22953,111.7279
5.73,-16.63193,2.702366,0,0,0,0,89.23043,111.5641
5.74,-16.61162,2.696694,0,0,0,0,89.22933,111.4007
5.75,-16.59137,2.691037,0,0,0,0,89.21221,111.2376
5.76,-16.57118,2.685394,0,0,0,0,89.2021,111.0745
5.77,-16.55105,2.679765,0,0,0,0,89.19297,110.9117
5.78,-16.53097,2.674151,0,0,0,0,89.18584,110.749
5.79,-16.51095,2.668551,0,0,0,0,89.1797,110.5866
5.8,-16.49099,2.662966,0,0,0,0,89.16856,110.4244
5.81,-16.47108,2.657395,0,0,0,0,89.1544,110.2624
5.82,-16.45124,2.651839,0,0,0,0,89.14624,110.1005
5.83,-16.43144,2.646296,0,0,0,0,89.13808,109.9389
5.84,-16.41171,2.640768,0,0,0,0,89.12591,109.7774
5.85,-16.39203,2.635253,0,0,0,0,89.12273,109.6161
5.86,-15.98613,2.475118,0,0,0,0,89.25496,109.455
5.87,-15.61973,2.330524,0,0,0,0,89.37996,109.2981
5.88,-15.30055,2.20461,0,0,0,0,89.47844,109.145
5.89,-15.0226,2.095017,0,0,0,0,89.57275,108.9951
5.9,-14.77964,1.999289,0,0,0,0,89.6369,108.848
5.91,-14.56783,1.915917,0,0,0,0,89.71262,108.7034
5.92,-14.38282,1.843179,0,0,0,0,89.75641,108.561
5.93,-14.22099,1.77965,0,0,0,0,89.80358,108.4204
5.94,-14.07935,1.724147,0,0,0,0,89.84426,108.2815
5.95,-13.95542,1.675694,0,0,0,0,89.87144,108.1441
5.96,-13.84657,1.633243,0,0,0,0,89.90296,108.0078
5.97,-13.75088,1.596034,0,0,0,0,89.92457,107.8728
5.98,-13.66686,1.563482,0,0,0,0,89.94291,107.7388
5.99,-13.59272,1.534875,0,0,0,0,89.95054,107.6056
6,-13.52714,1.509687,0,0,0,0,89.96295,107.4732
6.01,-13.46942,1.487642,0,0,0,0,89.96956,107.3414
6.02,-13.41804,1.468131,0,0,0,0,89.97573,107.2102
6.03,-13.37219,1.450833,0,0,0,0,89.97779,107.0796
6.04,-13.33144,1.43558,0,0,0,0,89.97301,106.9494
6.05,-13.2951,1.422094,0,0,0,0,89.98064,106.8195
6.06,-13.26256,1.410134,0,0,0,0,89.97187,106.6902
6.07,-13.23317,1.399439,0,0,0,0,89.9669,106.5611
6.08,-13.2064,1.389794,0,0,0,0,89.96188,106.4322
6.09,-13.18214,1.381158,0,0,0,0,89.96294,106.3037
6.1,-13.16002,1.373377,0,0,0,0,89.95322,106.1755
6.11,-13.13976,1.366348,0,0,0,0,89.9558,106.0474
6.12,-13.12113,1.359977,0,0,0,0,89.93979,105.9197
